CouchBase;Memcached;Mongo;Orient;Redis;Riak;;CouchBase;Memcached;Mongo;Orient;Redis;Riak
400;20;1410;1870;60;26780;;;;;;;
430;10;1110;2580;120;27550;;;;;;;
340;40;1430;1270;80;26790;;;;;;;
430;90;2040;1040;90;27780;;;;;;;
540;60;1330;1150;50;27880;;;;;;;
430;10;1820;1360;70;61970;;;;;;;
290;20;1710;2370;110;28090;;;;;;;
500;30;1720;1250;140;38090;;;;;;;
410;10;1720;1310;40;38230;;;;;;;
490;20;1270;1340;50;31610;;;;;;;
500;0;3170;1260;210;28170;;;;;;;
500;10;1670;1800;60;29680;;;;;;;
330;10;1590;1360;30;30430;;;;;;;
530;20;1760;1840;80;28910;;;;;;;
510;10;2050;1360;30;28340;;;;;;;
370;50;1530;1140;110;27340;;;;;;;
330;20;7640;1280;30;28620;;;;;;;
360;20;1010;2010;70;27750;;;;;;;
330;10;1920;1170;110;28060;;;;;;;
440;40;4580;1440;70;28370;;;;;;;
620;10;2430;1540;70;29950;;;;;;;
460;20;2340;1370;40;28320;;;;;;;
420;0;3530;1630;70;29250;;;;;;;
490;30;1840;1230;0;30810;;;;;;;
360;30;2160;1440;60;29150;;;;;;;
610;0;2270;1360;50;28160;;;;;;;
660;20;5810;1490;30;30230;;;;;;;
570;20;2900;1520;40;28180;;;;;;;
610;20;2980;1270;30;28310;;;;;;;
610;0;2480;1990;50;33760;;;;;;;
400;20;1630;1930;30;29410;;;;;;;
510;10;1520;1470;50;25300;;;;;;;
500;20;2240;1830;60;28350;;;;;;;
450;10;600;1380;30;28180;;;;;;;
580;50;1310;1430;40;24810;;;;;;;
790;40;2500;1080;70;28240;;;;;;;
860;10;2190;1310;30;25570;;;;;;;
910;10;3090;1270;20;27820;;;;;;;
900;20;2380;1300;160;28100;;;;;;;
780;30;1980;1270;90;29340;;;;;;;
810;10;1970;1390;50;28500;;;;;;;
910;10;1380;1260;120;36810;;;;;;;
880;10;1410;1250;110;28240;;;;;;;
660;10;1640;1350;30;25780;;;;;;;
620;50;620;1340;40;28390;;;;;;;
580;10;1220;1500;10;26980;;;;;;;
570;40;1960;1350;170;25650;;;;;;;
560;50;1450;1410;50;30340;;;;;;;
400;40;750;1300;100;29560;;;;;;;
510;30;1160;2190;60;26740;;;;;;;
420;0;1570;1790;30;27480;;;;;;;
530;40;1170;1930;70;28740;;;;;;;
590;10;1910;1430;90;27230;;;;;;;
310;50;2030;1940;70;26890;;;;;;;
520;20;1550;1620;40;27520;;;;;;;
440;10;1300;1880;50;31080;;;;;;;
440;30;2920;1740;60;34150;;;;;;;
460;240;830;1540;30;28920;;;;;;;
500;50;1470;1660;50;28190;;;;;;;
450;0;920;2130;80;26740;;;;;;;
470;10;1190;1090;10;26220;;;;;;;
490;10;1490;1900;90;27200;;;;;;;
500;10;1390;1400;60;27800;;;;;;;
600;40;1500;1730;30;30020;;;;;;;
520;20;1480;2620;50;25410;;;;;;;
490;0;1850;1760;30;25520;;;;;;;
510;0;1650;1220;50;27200;;;;;;;
340;10;1190;2040;60;30110;;;;;;;
500;30;2450;1980;100;27000;;;;;;;
420;0;660;1500;60;26790;;;;;;;
480;10;1080;1350;60;26870;;;;;;;
330;40;1210;2310;30;32070;;;;;;;
460;30;2230;1550;50;29440;;;;;;;
450;30;870;1490;70;27150;;;;;;;
550;10;1170;1330;60;25950;;;;;;;
480;110;1230;1770;80;27100;;;;;;;
830;30;1660;1400;100;26650;;;;;;;
600;50;1930;1900;120;29740;;;;;;;
620;0;1480;2150;80;28370;;;;;;;
360;30;1470;1230;40;27190;;;;;;;
530;40;940;1420;50;29480;;;;;;;
490;30;300;1570;70;29540;;;;;;;
360;60;840;1460;20;26530;;;;;;;
480;50;3690;1440;250;25550;;;;;;;
480;10;2370;1140;80;28510;;;;;;;
600;10;2680;1580;10;31370;;;;;;;
630;0;7400;950;30;25970;;;;;;;
600;10;5440;1450;10;33320;;;;;;;
570;40;5240;1510;90;28010;;;;;;;
760;30;4010;1630;40;32720;;;;;;;
640;30;3970;1290;40;30220;;;;;;;
620;50;2460;1480;70;28300;;;;;;;
490;40;3290;1090;20;29140;;;;;;;
340;0;4740;1220;50;29620;;;;;;;
400;0;4370;1230;110;33450;;;;;;;
450;0;5030;1330;70;31590;;;;;;;
500;20;3920;1930;20;30100;;;;;;;
250;0;4210;1330;50;27830;;;;;;;
320;30;5080;1430;140;32750;;;;;;;
470;0;3750;1500;50;26590;;;;;;;
610;40;4130;1880;40;27490;;;;;;;
690;10;4800;1340;80;29660;;;;;;;
560;20;3610;1930;30;27360;;;;;;;
330;40;3760;2320;50;27490;;;;;;;
500;10;3440;1540;80;27370;;;;;;;
310;10;4320;1980;60;27070;;;;;;;
560;10;2920;1560;130;25430;;;;;;;
490;30;5830;1290;50;24980;;;;;;;
550;10;4120;2140;90;27500;;;;;;;
490;30;3320;1840;200;25500;;;;;;;
490;30;2830;1390;70;25790;;;;;;;
700;40;2690;1540;30;26070;;;;;;;
550;40;2080;1530;80;27490;;;;;;;
310;10;3080;1850;70;26340;;;;;;;
600;0;3010;1260;0;25660;;;;;;;
510;20;2600;1170;20;27120;;;;;;;
430;10;2320;1540;60;27010;;;;;;;
470;0;3090;1710;20;25410;;;;;;;
670;10;3740;1600;0;25870;;;;;;;
390;0;2000;1470;20;23800;;;;;;;
690;30;1640;1530;0;28950;;;;;;;
380;40;3560;1360;40;26040;;;;;;;
500;0;2830;1610;50;23590;;;;;;;
480;10;2200;1590;60;26190;;;;;;;
520;20;2300;1530;20;25230;;;;;;;
610;30;2530;1420;40;23320;;;;;;;
730;20;3250;1610;20;25080;;;;;;;
660;50;1210;1310;120;28110;;;;;;;
490;60;1430;1410;80;23260;;;;;;;
570;20;2220;1170;60;25040;;;;;;;
610;10;2000;1280;140;25520;;;;;;;
620;0;2200;1730;60;30400;;;;;;;
620;50;5290;1480;50;27770;;;;;;;
450;0;1850;1150;30;28370;;;;;;;
500;40;1820;1550;20;26780;;;;;;;
720;10;1980;1640;60;27250;;;;;;;
600;30;2080;1430;50;26700;;;;;;;
400;10;3130;1480;130;26040;;;;;;;
380;10;1950;1620;90;25170;;;;;;;
670;30;1460;1060;40;27830;;;;;;;
880;20;1780;1230;50;29410;;;;;;;
410;20;2140;1400;140;24920;;;;;;;
540;10;2340;1170;140;27400;;;;;;;
600;20;3310;1480;50;26110;;;;;;;
590;30;1990;1270;190;27560;;;;;;;
410;10;2770;1130;40;28220;;;;;;;
510;20;1210;1420;40;25770;;;;;;;
560;20;1820;1210;30;25140;;;;;;;
290;30;2340;1160;20;23820;;;;;;;
390;40;1310;1250;20;29750;;;;;;;
480;30;1870;1250;110;27420;;;;;;;
560;20;1230;1690;70;24630;;;;;;;
270;30;2010;1410;30;27370;;;;;;;
470;0;1630;1240;60;25240;;;;;;;
490;30;580;1080;100;25170;;;;;;;
430;0;1660;2600;60;27560;;;;;;;
690;20;1080;1700;30;24900;;;;;;;
450;20;1670;1430;30;26230;;;;;;;
310;50;870;1420;90;25020;;;;;;;
540;0;890;1860;50;29050;;;;;;;
420;10;1870;2270;70;24800;;;;;;;
500;50;1750;2630;170;25040;;;;;;;
380;10;2160;2120;40;24380;;;;;;;
380;10;1590;3950;10;26570;;;;;;;
660;0;1940;4390;360;24650;;;;;;;
500;20;2040;3430;330;27270;;;;;;;
570;40;260;3700;350;27410;;;;;;;
370;10;1330;4520;450;25960;;;;;;;
530;20;1150;3270;240;25640;;;;;;;
440;50;1920;4900;480;26470;;;;;;;
340;60;1150;2960;180;24060;;;;;;;
340;30;1060;3230;450;25500;;;;;;;
510;20;990;2580;260;25620;;;;;;;
380;20;1030;3890;260;26470;;;;;;;
380;40;1780;6980;120;25510;;;;;;;
530;30;850;3800;170;28170;;;;;;;
380;10;2170;6600;600;29260;;;;;;;
600;80;1240;4130;430;24900;;;;;;;
630;50;870;2620;410;27380;;;;;;;
710;0;1010;3130;130;29020;;;;;;;
380;30;1280;3610;290;27400;;;;;;;
510;0;990;2280;300;28190;;;;;;;
450;10;930;2870;990;27550;;;;;;;
350;0;1200;2350;190;30240;;;;;;;
600;50;1000;3150;80;26420;;;;;;;
460;30;1160;2820;30;26650;;;;;;;
360;0;1300;2240;30;27800;;;;;;;
520;0;1460;2650;40;27850;;;;;;;
530;60;1180;2330;80;27680;;;;;;;
790;30;1380;2060;20;24690;;;;;;;
470;0;950;2080;40;30460;;;;;;;
390;10;900;2850;20;336650;;;;;;;
440;40;1490;2640;40;28860;;;;;;;
400;10;1670;3540;130;26720;;;;;;;
400;0;1420;2200;100;27700;;;;;;;
550;0;610;2720;40;28980;;;;;;;
440;0;850;2250;120;27640;;;;;;;
530;40;640;3170;120;25300;;;;;;;
390;30;890;2190;50;25980;;;;;;;
450;10;850;2370;90;26070;;;;;;;
540;30;1470;2530;10;26380;;;;;;;
440;70;1970;2370;50;23380;;;;;;;
620;70;370;2790;0;26260;;;;;;;
640;10;1240;3540;110;27540;;;;;;;
440;0;500;7960;70;24060;;;;;;;
480;10;1010;2700;120;25940;;;;;;;
490;20;670;2290;60;25820;;;;;;;
580;0;1070;4440;50;27650;;;;;;;
430;10;410;2110;0;29280;;;;;;;
410;20;410;3370;20;25740;;;;;;;
430;20;1500;3070;20;29310;;;;;;;
500;30;1730;3090;40;28240;;;;;;;
390;30;1090;2730;30;27610;;;;;;;
700;10;550;2330;70;28120;;;;;;;
460;0;1330;3400;110;27030;;;;;;;
430;10;830;1960;40;30410;;;;;;;
460;10;920;2420;50;25900;;;;;;;
620;10;690;1950;60;25460;;;;;;;
640;0;890;2690;10;91520;;;;;;;
550;30;670;3190;60;26850;;;;;;;
440;40;1390;4450;10;25960;;;;;;;
420;10;1080;2020;50;27450;;;;;;;
590;30;1080;2240;90;29040;;;;;;;
440;20;990;2390;30;26580;;;;;;;
480;40;1150;2700;80;26110;;;;;;;
400;0;610;2330;30;27030;;;;;;;
470;10;510;2280;70;27790;;;;;;;
410;40;360;2950;20;28000;;;;;;;
500;10;160;2760;60;26480;;;;;;;
550;30;980;2720;40;28070;;;;;;;
430;20;1050;3550;20;25940;;;;;;;
540;0;1170;2200;130;24600;;;;;;;
500;30;1640;2790;90;27060;;;;;;;
400;0;1680;2560;50;27430;;;;;;;
590;70;560;2490;30;25540;;;;;;;
550;20;390;2120;110;24430;;;;;;;
490;0;1460;3100;70;28530;;;;;;;
800;30;180;2300;20;27990;;;;;;;
570;0;260;2720;40;24690;;;;;;;
440;0;190;3020;150;25980;;;;;;;
610;60;110;2270;50;25610;;;;;;;
510;60;590;2800;50;24460;;;;;;;
340;10;710;2130;40;29030;;;;;;;
430;30;1140;1770;90;23810;;;;;;;
430;50;810;1980;10;26220;;;;;;;
320;20;1110;2300;40;25120;;;;;;;
390;0;1020;1480;50;26970;;;;;;;
410;20;240;2410;60;28520;;;;;;;
370;40;1160;1960;100;27880;;;;;;;
600;70;290;2340;40;30560;;;;;;;
500;10;470;2630;100;28600;;;;;;;
410;30;250;2040;0;28590;;;;;;;
490;0;420;2590;90;29480;;;;;;;
390;10;310;1950;60;25140;;;;;;;
480;30;1030;2110;50;28060;;;;;;;
440;0;1730;2120;40;25050;;;;;;;
370;20;1240;1820;50;25980;;;;;;;
350;40;1380;1700;90;28950;;;;;;;
580;10;1810;2060;20;28590;;;;;;;
530;0;1320;1550;70;28980;;;;;;;
630;80;1290;2140;70;26650;;;;;;;
600;10;1260;2450;80;24600;;;;;;;
520;30;310;1490;40;26480;;;;;;;
560;40;560;1370;40;26380;;;;;;;
420;70;770;2070;130;27560;;;;;;;
490;10;720;2170;130;28980;;;;;;;
470;30;1440;1860;30;26410;;;;;;;
290;50;760;1890;140;29540;;;;;;;
350;0;250;1560;70;24690;;;;;;;
370;10;90;1770;60;26200;;;;;;;
430;30;350;2100;70;25260;;;;;;;
560;10;660;1750;30;26010;;;;;;;
560;20;410;1810;90;25470;;;;;;;
310;0;310;1690;60;27380;;;;;;;
420;70;620;2540;30;26610;;;;;;;
600;20;460;1660;60;23470;;;;;;;
670;20;300;1540;90;25700;;;;;;;
480;10;680;2080;150;25390;;;;;;;
580;90;780;1450;90;25420;;;;;;;
400;40;270;1170;30;28650;;;;;;;
520;0;220;1750;80;24550;;;;;;;
460;20;180;1740;90;23170;;;;;;;
450;40;860;1820;40;25990;;;;;;;
590;20;380;1580;60;22660;;;;;;;
390;20;820;1470;30;29530;;;;;;;
590;30;930;1110;40;26810;;;;;;;
440;30;490;1450;50;26670;;;;;;;
410;30;880;2270;40;27480;;;;;;;
510;0;1060;1890;50;25750;;;;;;;
380;40;210;1280;40;24150;;;;;;;
400;0;560;1230;40;24710;;;;;;;
710;20;1120;1310;50;27730;;;;;;;
500;0;720;1780;100;35320;;;;;;;
440;10;480;1630;100;28220;;;;;;;
480;10;340;1790;70;28130;;;;;;;
520;30;530;1590;130;34320;;;;;;;
390;0;100;1590;100;27710;;;;;;;
540;70;840;2460;120;29690;;;;;;;
450;0;680;1960;210;27900;;;;;;;
540;20;150;1500;80;27230;;;;;;;
870;0;680;1460;110;28530;;;;;;;
830;20;270;1460;110;26260;;;;;;;
750;10;400;1590;120;27750;;;;;;;
410;10;900;1720;90;27210;;;;;;;
500;0;550;2330;160;28680;;;;;;;
510;40;200;1880;140;24990;;;;;;;
500;10;710;1580;60;27900;;;;;;;
320;20;260;1290;60;26860;;;;;;;
600;10;630;1200;100;27310;;;;;;;
410;20;260;1840;30;28180;;;;;;;
460;30;320;2120;50;26730;;;;;;;
310;0;390;1470;30;26210;;;;;;;
400;20;560;1460;80;24660;;;;;;;
560;0;220;1270;190;27280;;;;;;;
800;10;620;1240;30;26590;;;;;;;
910;30;390;1160;70;25910;;;;;;;
990;40;560;1140;60;27590;;;;;;;
990;10;860;1020;90;26740;;;;;;;
1030;20;480;1400;10;26020;;;;;;;
530;0;300;1210;50;26150;;;;;;;
360;10;680;1170;30;24490;;;;;;;
580;0;850;1130;50;26350;;;;;;;
440;10;90;1350;40;25450;;;;;;;
610;10;290;1710;40;22540;;;;;;;
560;70;590;2120;40;25110;;;;;;;
460;0;70;1170;30;25410;;;;;;;
670;10;380;1290;200;26020;;;;;;;
360;10;350;1050;360;27220;;;;;;;
330;30;430;1500;180;26000;;;;;;;
380;30;420;1040;50;24690;;;;;;;
560;20;550;1210;210;22370;;;;;;;
450;10;0;1270;170;26660;;;;;;;
350;20;1090;1370;70;26160;;;;;;;
430;40;140;940;50;29340;;;;;;;
340;0;290;940;80;26700;;;;;;;
390;90;150;970;80;26740;;;;;;;
460;10;490;1140;70;28120;;;;;;;
400;10;460;1200;80;25880;;;;;;;
390;20;300;1160;40;30570;;;;;;;
430;30;270;1190;90;27400;;;;;;;
400;0;150;1510;40;26000;;;;;;;
540;40;510;1180;60;27880;;;;;;;
480;0;310;910;110;26380;;;;;;;
670;20;810;1440;10;27370;;;;;;;
360;20;200;1150;70;27780;;;;;;;
570;20;100;1190;80;27250;;;;;;;
410;0;680;860;130;24750;;;;;;;
440;20;850;1250;70;27650;;;;;;;
370;20;370;1410;30;26190;;;;;;;
380;10;570;1460;60;26610;;;;;;;
470;10;610;1250;40;26330;;;;;;;
710;60;30;1320;20;25840;;;;;;;
460;0;340;1350;50;25600;;;;;;;
600;0;230;1140;120;27320;;;;;;;
560;60;580;1460;20;28140;;;;;;;
580;30;490;1140;50;27680;;;;;;;
610;0;250;1320;80;26770;;;;;;;
380;10;300;1950;120;26420;;;;;;;
440;30;150;1680;60;25820;;;;;;;
520;90;40;970;10;26430;;;;;;;
470;10;240;1060;160;28300;;;;;;;
470;10;130;1230;50;25480;;;;;;;
390;10;100;1040;10;27670;;;;;;;
700;70;680;1090;110;25560;;;;;;;
780;30;440;1100;190;24830;;;;;;;
700;10;730;1620;20;25750;;;;;;;
490;0;370;1140;110;26060;;;;;;;
460;10;70;1860;100;24280;;;;;;;
400;80;130;1380;30;27040;;;;;;;
490;10;220;1790;60;23350;;;;;;;
390;10;250;1320;40;26600;;;;;;;
630;0;400;1420;60;26590;;;;;;;
520;10;280;820;40;23340;;;;;;;
550;30;580;980;80;25250;;;;;;;
450;20;30;1040;90;24030;;;;;;;
380;70;590;920;90;25260;;;;;;;
400;0;170;1000;40;25070;;;;;;;
480;0;250;1150;130;25890;;;;;;;
490;30;170;1190;40;25650;;;;;;;
450;10;220;1560;100;25700;;;;;;;
530;10;140;1170;20;22020;;;;;;;
520;40;60;1040;80;23650;;;;;;;
620;20;80;1620;20;26050;;;;;;;
590;80;240;1260;70;22400;;;;;;;
570;40;470;1650;40;23420;;;;;;;
450;20;70;1140;90;24270;;;;;;;
470;10;530;1100;70;24630;;;;;;;
490;0;170;1440;20;26740;;;;;;;
520;90;650;1460;20;22420;;;;;;;
490;50;280;1610;40;23230;;;;;;;
460;20;160;1370;20;25200;;;;;;;
580;100;210;800;130;26660;;;;;;;
420;0;320;990;140;25330;;;;;;;
530;50;300;1110;20;25360;;;;;;;
430;30;100;1220;70;27980;;;;;;;
500;30;240;1380;110;23120;;;;;;;
560;30;370;1670;60;23920;;;;;;;
590;40;490;1440;80;22460;;;;;;;
500;40;560;1140;120;23990;;;;;;;
400;30;450;1160;10;23170;;;;;;;
610;10;1430;1140;40;25630;;;;;;;
640;0;710;1710;90;23610;;;;;;;
500;40;260;1020;80;25030;;;;;;;
490;20;540;1250;20;24280;;;;;;;
420;20;810;1460;20;21300;;;;;;;
570;0;690;1280;20;22510;;;;;;;
510;30;910;1290;130;22610;;;;;;;
570;30;1190;980;40;24580;;;;;;;
470;30;840;900;20;23540;;;;;;;
500;10;880;1150;140;22710;;;;;;;
480;40;1290;850;30;20740;;;;;;;
350;0;290;1630;30;23960;;;;;;;
370;20;1300;1650;50;24830;;;;;;;
470;0;530;1280;40;23560;;;;;;;
610;10;90;980;20;21080;;;;;;;
390;10;110;1520;50;21830;;;;;;;
400;30;140;1650;110;24590;;;;;;;
420;20;30;1640;20;22230;;;;;;;
660;30;330;1550;0;21110;;;;;;;
560;20;80;1500;100;18670;;;;;;;
520;40;460;1320;40;22380;;;;;;;
460;0;480;1480;10;29010;;;;;;;
430;40;380;1070;30;25940;;;;;;;
560;30;300;1540;80;20510;;;;;;;
570;50;340;1270;50;19260;;;;;;;
570;0;90;1400;50;23250;;;;;;;
610;30;250;1320;80;19660;;;;;;;
420;50;130;1250;130;20340;;;;;;;
440;10;190;1350;110;24330;;;;;;;
520;40;250;870;60;31600;;;;;;;
430;10;60;1210;60;28650;;;;;;;
520;10;50;900;160;28560;;;;;;;
350;10;140;1210;60;27710;;;;;;;
550;0;200;1400;30;33420;;;;;;;
390;20;110;1580;80;41560;;;;;;;
500;0;300;1300;50;40060;;;;;;;
400;30;350;1140;0;43390;;;;;;;
400;0;350;1160;40;39290;;;;;;;
300;20;120;1370;60;39330;;;;;;;
370;20;110;1610;20;31730;;;;;;;
430;50;310;1010;80;37080;;;;;;;
490;10;140;1320;50;37800;;;;;;;
550;20;170;1140;60;42460;;;;;;;
330;10;520;1140;50;34540;;;;;;;
470;20;780;1190;40;40590;;;;;;;
390;20;370;1160;90;36890;;;;;;;
540;10;750;970;20;43170;;;;;;;
370;10;30;1090;50;35370;;;;;;;
410;80;50;1120;30;39220;;;;;;;
410;20;510;1240;50;38550;;;;;;;
740;20;150;1390;30;39290;;;;;;;
500;10;360;1470;70;35540;;;;;;;
600;70;230;1250;70;42470;;;;;;;
800;60;490;1220;80;35700;;;;;;;
320;0;190;1030;30;39800;;;;;;;
400;20;420;960;100;40120;;;;;;;
430;20;60;1260;70;32490;;;;;;;
470;40;230;1160;50;28030;;;;;;;
470;20;100;1090;60;38930;;;;;;;
370;30;320;1080;50;33570;;;;;;;
510;10;300;1300;150;35350;;;;;;;
470;0;210;1090;70;38080;;;;;;;
500;0;90;1180;10;26780;;;;;;;
530;0;80;1400;70;36400;;;;;;;
370;0;30;1410;40;31470;;;;;;;
360;20;90;1170;20;32640;;;;;;;
520;40;280;830;50;36190;;;;;;;
460;50;40;1020;50;37110;;;;;;;
570;10;140;930;20;35790;;;;;;;
590;100;90;950;90;37840;;;;;;;
570;0;80;1150;40;29250;;;;;;;
570;10;120;1280;30;40230;;;;;;;
420;20;150;990;30;35890;;;;;;;
540;40;90;970;50;32640;;;;;;;
580;0;10;930;50;34590;;;;;;;
590;30;240;990;30;31450;;;;;;;
530;0;40;1090;160;38850;;;;;;;
460;30;90;910;90;30800;;;;;;;
500;20;80;1400;60;29050;;;;;;;
450;30;430;870;60;29950;;;;;;;
440;0;660;1170;60;30530;;;;;;;
490;0;40;1130;10;34920;;;;;;;
510;30;460;840;60;29850;;;;;;;
460;30;270;800;0;28940;;;;;;;
480;10;150;1630;40;28810;;;;;;;
550;20;160;1010;110;29490;;;;;;;
440;50;120;970;80;27170;;;;;;;
490;10;310;1120;70;36180;;;;;;;
430;20;570;910;40;31980;;;;;;;
410;10;100;1080;60;29900;;;;;;;
600;60;280;1040;30;41290;;;;;;;
500;10;110;1140;130;34080;;;;;;;
450;10;480;1450;50;34560;;;;;;;
390;30;250;1200;60;44140;;;;;;;
620;20;120;1090;40;31240;;;;;;;
330;30;190;1040;70;33920;;;;;;;
640;50;100;1100;180;35990;;;;;;;
480;10;210;1000;50;30030;;;;;;;
560;20;280;1030;50;45590;;;;;;;
410;10;40;960;130;39680;;;;;;;
610;10;120;870;120;38090;;;;;;;
360;10;430;840;40;31550;;;;;;;
520;40;30;1140;40;38880;;;;;;;
580;10;100;1020;100;30460;;;;;;;
440;10;90;880;10;29610;;;;;;;
630;90;290;1120;60;38480;;;;;;;
530;60;120;1210;70;34300;;;;;;;
490;20;120;1240;70;33620;;;;;;;
610;10;150;1130;80;29630;;;;;;;
460;0;730;1320;90;39060;;;;;;;
590;20;70;1180;30;38330;;;;;;;
